"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
TC_ID: LOGIN_POS_01
Title: Login with valid user
Expected: Redirected to inventory page
","3925","test_login_pos_01","tests","2025-10-06","failed","2025-10-06","","test_login","",""
"
TC_ID: LOGIN_NEG_01
Title: Login with locked user
Expected: Error message displayed
","1915","test_login_neg_01","tests","2025-10-06","passed","2025-10-06","","test_login","",""
